years,start_date,end_date,strategy_return,hold_return,difference_pp
1,2025-09-25,2026-09-25,13.459644632856737,14.114576841801124,-0.6549322089443876
3,2023-09-25,2026-09-25,123.17271956116628,121.38998898052654,1.7827305806397362
5,2021-09-27,2026-09-25,134.26691266378646,140.4118828706105,-6.144970206824041
7,2019-09-25,2026-09-25,167.73998919053656,177.3813710661389,-9.641381875602349
9,2017-09-25,2026-09-25,202.4967396271802,215.91584960933432,-13.419109982154112
