years,start_date,end_date,strategy_return,hold_return,difference_pp
1,2025-09-16,2026-09-16,-6.2607316049861765,-57.2373380931875,50.97660648820133
3,2023-09-16,2026-09-16,129.06002637239405,159.9305832659491,-30.87055689355506
5,2021-09-16,2026-09-16,-18.492946452294717,19.041990251578483,-37.5349367038732
7,2019-09-16,2026-09-16,516.0000960240461,397.9233667607117,118.07672926333441
9,2017-12-08,2026-09-16,6435.328031412327,415.3558707650709,6019.972160647256
