years,start_date,end_date,strategy_return,hold_return,difference_pp
1,2025-09-17,2026-09-17,-29.662808091344388,-64.06095750564118,34.398149414296796
3,2023-09-17,2026-09-17,-44.88787566873397,-51.25581598060016,6.367940311866192
5,2021-09-17,2026-09-17,-43.635813708527294,-86.74795026577455,43.112136557247254
7,2019-09-17,2026-09-17,747.8886869494494,18.81830108125797,729.0703858681914
9,2017-12-08,2026-09-17,298.77545537961873,-75.01404837566251,373.78950375528126
