years,start_date,end_date,strategy_return,hold_return,difference_pp
1,2025-09-21,2026-09-21,7.591593542016284,-24.893029287534944,32.48462282955123
3,2023-09-21,2026-09-21,128.07905393114126,225.97151079923674,-97.89245686809548
5,2021-09-21,2026-09-21,135.05139052117752,112.81664140648391,22.234749114693614
7,2019-09-21,2026-09-21,1160.790428649029,764.3249686409316,396.46546000809747
9,2017-09-21,2026-09-21,5757.990718066524,2285.0718562954776,3472.9188617710465
