years,start_date,end_date,strategy_return,hold_return,difference_pp
1,2025-09-22,2026-09-21,21.631164149192458,23.054294017496744,-1.4231298683042866
3,2023-09-21,2026-09-21,354.5244844944566,451.16945418630735,-96.64496969185075
5,2021-09-21,2026-09-21,866.3296755550372,965.5783280626024,-99.24865250756523
7,2019-09-23,2026-09-21,4464.328511933906,5095.701322551614,-631.3728106177077
9,2017-09-21,2026-09-21,5180.826802295258,4959.024493613852,221.80230868140552
